GUID	Key	Value	OriginalValue	Info for translators	Do Not Translate	Localization State
1005657298772248888	InteractionGroup_Snack	Snack...	Snack		False	Localized, SentToLocalization
4131851423082051477	Skin_Pancakes	Pancakes	Pancakes		False	Localized, SentToLocalization
4273071824794794754	BrainLogic_MindBonuses	High Stat: Mind	High mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
4560166744048417860	SuccessModifier_Mind>=4+11	High Stat: Mind	High mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
6120216052322181420	SuccessModifier_Mind=3+6	High Stat: Mind	High mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
751421371333869935	SuccessModifier_Mind=2+3	High Stat: Mind	High mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1387127166108672965	SuccessModifier_Mind=0-10	Low Stat: Mind	Low mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
4341014735644712528	BrainLogic_CharismaApplicationPointBonus	High Stat: Charisma	High charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
530390094006327703	InteractionGroup_Practice	Practice...	Practice		False	Localized, SentToLocalization
1979762584442988038	InteractionGroup_LearnAbout	Learn about...	Learn about		False	Localized, SentToLocalization
2929971465611172358	SuccessModifier_Charisma>=4+15	High Stat: Charisma	High charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8248851205362375016	SuccessModifier_Charisma=3+10	High Stat: Charisma	High charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2079125348593422718	TogetherCard_MumbleIncomprehensibly	Mumble incomprehensibly	Mumble incomprehensibly		False	Localized, SentToLocalization
8966338022298519559	InteractionGroup_GROUP_Door	Door	Door		False	Localized, SentToLocalization
3455783873645328662	Interaction_CleanUpSoot	Clean up	Clean up		False	Localized, SentToLocalization
7211176686311250489	Interaction_PutCharacterOnFloorForced	Put baby on the floor	Put baby on the floor		False	Localized, SentToLocalization
4292371323690584926	Interaction_PickUpFromFloorToArms	Pick up	Pick up	Pick up a character from the floor to arms	False	Localized, SentToLocalization
5832124263984106674	Interaction_HugToddler	Hug	Hug	Hug toddler	False	Localized, SentToLocalization
4824354056578972389	Interaction_TickleToddler	Tickle	Tickle		False	Localized, SentToLocalization
8698595541948131164	Interaction_ToddlerChangeDiaper	Change diaper	Change diaper		False	Localized, SentToLocalization
3561059621908092060	Interaction_PutToddlerFromArmsToHighChair	Put in high chair	Put in high chair		False	Localized, SentToLocalization
4693294216211269315	Interaction_WIP_JoinSocialGroup	Join group	Join group		False	Localized, SentToLocalization
997935254169328881	Interaction_PickUpToddleFromHighChair	Pick up toddler	Pick up toddler		False	Localized, SentToLocalization
8943261212854401419	Interaction_BottleFeedBaby	Bottle feed	Bottle feed		False	Localized, SentToLocalization
4198798869919065552	Interaction_CuddleWithBaby	Cuddle	Cuddle		False	Localized, SentToLocalization
4509190012628921944	Interaction_RockingBaby	Rock baby	Rock baby		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5359175448646193107	Interaction_Breastfeed	Breastfeed	Breasfeed		False	Localized, SentToLocalization
5495999376904850016	Interaction_BurpBaby	Burp baby	Burp baby	An interaction where the adult Para try to make the baby burp	False	ChangedOnProofreadingImport, Localized, SentToLocalization
360557732660680274	Interaction_PlayingWithBabyPlane	Play baby plane	Play baby plane	Interaction where the adult Para play airplanes with the baby	False	ChangedOnProofreadingImport, Localized, SentToLocalization
2770866437587290547	Interaction_PickUpBabyFromCribToArms	Pick up from crib	Pick up from crib		False	Localized, SentToLocalization
1398408991894913722	Interaction_ChangeBabyInCrib	Change diaper	Change Diaper		False	Localized, SentToLocalization
4209439627843478733	Notification_AutonomyCharacterOnFire	I'm on fire! Ahhhhhh!!!	I'm on fire! Ahhhhhh!!		False	Localized, SentToLocalization
1215664628150441891	Notification_AutonomyPanicFromFire	Ahhh! Fire!	Ahhh! Fire!		False	Localized, SentToLocalization
3447549356104267507	StatusEffect_Stat=4JobPerformance+8%	High stats	High Stats		False	Localized, SentToLocalization
4306019827311756511	StatusEffect_Stat=3JobPerformance+4%	High stats	High Stats		False	Localized, SentToLocalization
471947964676039583	BrainLogic_OccupationJobPerformancePhysique>=3	High Stat: Physique	High physique		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3083376798711381808	BrainLogic_OccupationJobPerformanceCreativity>=3	High Stat: Creativity	High creativity		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3482676432721104711	BrainLogic_OccupationJobPerformanceMind>=3	High Stat: Mind	High mind		False	ChangedOnProofreadingImport, Localized, SentToLocalization
9005176265096865941	BrainLogic_OccupationJobPerformanceCharisma>=3	High Stat: Charisma	High charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8906612082746186930	BrainLogic_FailedCookingGivesEmotions	Failing a recipe	Failed a recipe		False	Localized, SentToLocalization
9096916374001314356	TraitDescription_Vibe_Overjoyed	Overjoyed Parafolks get happy easily and like to spread joy around.\n\nThey thrive the most when they are happy.	Overjoyed Parafolks get happy easily and like to spread joy around.\n\nThey thrive the most when they are happy.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2911009745554760959	TraitDescription_Vibe_Serious	Serious Parafolks are ambitious and goal-oriented.\n\nThey thrive the most when they are achieving great things.	Serious Parafolks are ambitious and goal-oriented.\n\nThey thrive the most when they are achieving great things.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8666794897242028856	TraitDescription_Vibe_Grumpy	Grumpy Parafolks are short-tempered and get mad easily.\n\nThey thrive the most when they have a lot of things to grump about.	Grumpy Parafolks are short-tempered and get mad easily.\n\nThey thrive the most when they have a lot of things to grump about.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2081948952068750564	TraitDescription_Vibe_Gloomy	Gloomy Parafolks get sad easily, but they choose to embrace it.\n\nThey thrive the most when they are sad.	Gloomy Parafolks get sad easily, but they choose to embrace it.\n\nThey thrive the most when they are sad.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3633492287906250219	TraitDescription_Vibe_Energetic	Energetic Parafolks are very active and often have an energy surplus that allows them to do more with their day.\n\nThey thrive the most when they can use this extra energy.	Energetic Parafolks are very active and often have an energy surplus that allows them to do more with their day.\n\nThey thrive the most when they spend this extra energy.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8673500924326667059	TraitDescription_Vibe_Peaceful	Peaceful Parafolks are calm and prefer to focus on their inner peace.\n\nThey thrive the most when taking the time to reflect and putting their accumulated inner peace to good use.	Peaceful Parafolks are calm and focus on their inner peace.\n\nThey thrive the most when taking time to reflect and putting their accumulated inner peace to good use.		True	ChangedOnProofreadingImport, SentToLocalization
1681587064510321725	TraitDescription_Vibe_Sensitive	Sensitive Parafolks are empathic and feel their emotions more intensely.\n\nThey thrive the most when they can leverage their emotions to achieve their goals.	Sensitive Parafolks are empathic and feel every emotion more intensely.\n\nThey thrive the most when they can leverage their emotions to complete their goals.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5237154496884887069	TraitDescription_Vibe_Jester	Jester Parafolks are good at making fun of everything and are always full of surprises.\n\nThey thrive the most when they can make people laugh and follow their whimsy.	Jester Parafolks are good at making fun of everything and are always full of surprises.\n\nThey thrive the most when they make people laugh and follow their whimsy.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2148681770198001350	TraitDescription_Talent_Music	Parafolks with this talent excel with musical instruments; piano, guitar, and even the triangle are no feat for them.\n\nThey have special abilities that trigger when playing music.	Parafolks with this talent excel with any instrument: piano, guitar, even the triangle is no feat for them.\n\nThey have special abilities that trigger when playing music.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2920742733450279430	TraitDescription_Talent_Technology	Parafolks with this talent love computers, and skills like programming are easy for them.\n\nThey have abilities linked to their computer usage.	Parafolks with this talent love computers, and skills like programming are easy for them.\n\nThey have abilities linked to their computer usage.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5145499275466599993	TraitDescription_Talent_VisualArts	Parafolks with this talent excel at painting and express themselves via visual art.\n\nThey are at their happiest creating art, and their paintings sell for more than those of Paras without the art talent.	Parafolks with this talent excel at painting and express themselves via this medium.\n\nThey are at their happiest creating art, and their paintings sell for more.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5915641778261050870	TraitDescription_Talent_Food	Parafolks with this talent love eating and cooking, and know their way around a spice rack.\n\nThey start off knowing more recipes than other Paras, and their food gives special effects to those who eat it.	Parafolks with this talent love eating and cooking, and know their way around a spice rack.\n\nThey start off knowing more recipes than other Paras, and their food gives special effects.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3693406745035043837	TraitDescription_Talent_Fitness	Parafolks with this talent love to move, and are the happiest at their sweatiest.\n\nThey get happy when they exercise, and their Hygiene need drains slower.	Parafolks with this talent love to move, and are the happiest at their sweatiest.\n\nThey get happy when they exercise, and their hygiene need decays slower.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1508270947047835677	TraitDescription_Talent_JackOfAllTrade	Parafolks with this talent perform well in all skills and want to learn as many things as possible.\n\nThey get bonuses when they work on all their skills.	Parafolks with this talent perform well in all skills and desire to learn as many things as possible.\n\nThey get bonuses when all their skills are worked on.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1803066589787847840	TraitDescription_Talent_GoodAtNothing	Parafolks with this talent are good at nothing: not everyone can be talented.\n\nTheir skills progress slowly, they fail tasks more often, and they get sick easily.	Parafolks with this talent are good at nothing: not everyone can be talented.\n\nTheir skills progress slowly, they fail tasks more often, and get sick easily.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3568027650154763373	TraitDescription_Social_BeingAlone	Parafolks with this social perk prefer to spend time alone rather than with others.\n\nBeing alone gives them significant bonuses.	Parafolks with this trait prefer to spend time alone rather than with a group.\n\nBeing alone gives them powerful bonuses.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2857119030426675960	TraitDescription_Social_MakingFriends	Parafolks with this social perk like the company of others.\n\nThey make friends very easily.	Parafolks with this trait like the company of others.\n\nThey make friends more easily than others.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
7951861799120837743	TraitDescription_Social_TakingCare	Parafolks with this social perk put others first and are always there to help.\n\nThey can relieve other Paras' needs and bad emotions.	Parafolks with this trait always put others first and are always there to help.\n\nThey can relieve the need and bad emotions of other Paras.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5644310527703832434	TraitDescription_Social_Romance	Parafolks with this social perk love having some romance in their lives.\n\nThey have more success with flirting and get more interesting flirting prompts.	Parafolks with this trait love having some romance in their life.\n\nThey have more success with flirting and get more interesting flirting prompts.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8446309943164112254	Interaction_WonderAboutNewTask	Think about something you want to distract from sadness	Wonder about new task to distract from sadness		False	Localized, SentToLocalization
4049789979436759194	Interaction_ThinkAboutLoveLife	Think about love life	Think about love life		False	Localized, SentToLocalization
6116871599391025121	InteractionGroup_GROUP_Mirror	Mirror	Mirror		False	Localized, SentToLocalization
4338300950447274831	InteractionGroup_Exercise	Exercise...	Exercise		False	Localized, SentToLocalization
7557305755071719494	InteractionGroup_GROUP_Floor	Floor	Floor		False	Localized, SentToLocalization
1121014422080548327	TogetherCard_TellADepressingStory	Share a depressing story	Share depressing story		False	ChangedOnProofreadingImport, Localized, SentToLocalization
6000437072661860455	Want_BecomeLoversWithSomeone	Become lovers with someone	Become lovers with someone		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5597116588305994610	Want_HaveFirstKissWith	Have first kiss with {6}	Have first kiss with {6}		False	Localized, SentToLocalization
8269610369204216914	Want_GetIntimateWithCharacter	Get intimate with {6}	Get intimate with {6}		False	Localized, SentToLocalization
6858492077270826739	Interaction_ExtinguishItem	Extinguish fire	Extinguish fire		False	Localized, SentToLocalization
7750767813456535809	Interaction_EatOnPlate	Eat	Eat		False	Localized, SentToLocalization
2757932336848300957	InteractionGroup_GROUP_Plate	Plate	Plate		False	Localized, SentToLocalization
7887508151562056853	Interaction_ReplaceBurntItem	Replace burnt item	Replace burnt item		False	Localized, SentToLocalization
9192794488934996639	InteractionGroup_GROUP_Soot	Ashes	Soot		False	Localized, SentToLocalization
8099739374470688750	OccupationUnlockableName_AnotherSadDayAtWork	Another Sad Day at Work	Another sad day at work		False	Localized, SentToLocalization
1569809341367274763	SuccessModifier_GloomyBonus	Someone in the group is sad (Vibe: Gloomy)	Someone in the group is sad (Trait: Gloomy)		False	Localized, SentToLocalization
747737965226540018	SuccessModifier_Charisma=0-10	Low Stat: Charisma	Low charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
6689171870871088927	SuccessModifier_Charisma=2+5	High Stat: Charisma	High charisma		False	ChangedOnProofreadingImport, Localized, SentToLocalization
3962328193723086568	OccupationUnlockableName_SeriouslyPromisingNewHire	Seriously Promising New Hire	Seriously promising new hire		False	Localized, SentToLocalization
3000260268358515506	StatusEffect_JobPerformance+10%	Talking about work	Talking about work		False	Localized, SentToLocalization
8231246892949153510	BrainLogic_ApplicationPointBonusTwoSerious	Two serious Paras are together (Vibe: Serious)	Two serious Paras together (Trait: Serious)		False	Localized, SentToLocalization
7110965950239961404	Want_TakeSomeMeTime	Fill up your Me Time need	Take some (me time)	Me Time is the name of a need for good-at-being-alone parafolks	False	Localized, SentToLocalization
4708300219507277720	Want_ChainWantToBeAlone1	Be alone for 1 hour	Stay alone for 1 hour		False	Localized, SentToLocalization
2117182018675697284	Want_ChainWantToBeAlone2	Be alone for {0} hours	Stay alone for {0} hours		False	Localized, SentToLocalization
3674588165685878561	Want_ChainWantToBeAlone3	Be alone for {0} hours	Stay alone for {0} hours		False	Localized, SentToLocalization
7746306524743749504	Want_ChainWantToBeAlone4	Be alone for {0} hours	Stay alone for {0} hours		False	Localized, SentToLocalization
8599107191391255014	Want_ChainWantToBeAlone5	Be alone for {0} hours	Stay alone for {0} hours		False	Localized, SentToLocalization
4246857590763066160	Want_LevelUpSkillAlone	Level up a skill by yourself	Level up a skill by yourself		False	Localized, SentToLocalization
9107859696030255512	TogetherCard_ShareRomanticWeekendIdea	Share romantic weekend idea	Share romantic weekend idea		False	Localized, SentToLocalization
2836862896433117450	TogetherCard_TellInterestingDateStory	Share an interesting date story	Share interesting date story		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8777792396519346910	Want_IfNoHighEndOvenBuyIt	Buy a high-end oven (Kochi)	Buy a high-end oven	Kochi is the name of the item collection	False	Localized, SentToLocalization
3951128337892512906	InteractionGroup_GROUP_Piano	Piano	Piano		False	Localized, SentToLocalization
6794949361829002647	Interaction_PracticePiano	Practice piano	Practice piano		False	Localized, SentToLocalization
632002193695421951	Interaction_PlaySongPiano...	Play song...	Play song...		False	Localized, SentToLocalization
5570166615761715056	Interaction_TEST_SetOnFire	(TEST) Set on fire	(TEST) Set on fire		True	None
8875661472527881645	InteractionGroup_GROUP_Range	Stove	Stove		False	Localized, SentToLocalization
2652891706630145757	InteractionGroup_GROUP_Fridge	Fridge	Fridge		False	Localized, SentToLocalization
3484256798854820925	InteractionGroup_GROUP_Bed	Bed	Bed		False	Localized, SentToLocalization
6528325445394204583	InteractionGroup_GROUP_Sit	Chair	Chair		False	Localized, SentToLocalization
5810614368833233506	InteractionGroup_GROUP_Sink	Sink	Sink		False	Localized, SentToLocalization
6398169182967168811	Interaction_WashHands	Wash hands	Wash hands		False	Localized, SentToLocalization
2213145775112556382	Interaction_BrushTeeth	Brush teeth	Brush teeth		False	Localized, SentToLocalization
6880558029354253419	InteractionGroup_GROUP_TubShower	Bathtub/shower	Bath / shower		False	Localized, SentToLocalization
7729116003024999837	Interaction_UseShower	Take shower	Wash body		False	Localized, SentToLocalization
8490109098445883098	InteractionGroup_GROUP_Computer	Computer	Computer		False	Localized, SentToLocalization
457109021349034638	InteractionGroup_GROUP_SitCouch	Couch	Couch		False	Localized, SentToLocalization
8947378725308829396	Interaction_SitRelaxed	Sit	Sit relaxed		False	Localized
7993524638870919672	Skin_HazelnutSpreadToasts	Hazelnut Spread Toast	Hazelnut Spread Toasts		False	Localized, SentToLocalization
4391139723806828381	Skin_EggSandwich	Egg Sandwich	Egg Sandwich		False	Localized, SentToLocalization
207744680932659841	BrainLogic_LearningSpeedDebuffWhenSad	Sad	Sad		False	Localized, SentToLocalization
6574558570143383628	BrainLogic_LearningSpeedDebuffWhenAngry	Angry	Angry		False	Localized, SentToLocalization
8017497486201417326	BrainLogic_LearningSpeedDebuffWhenEmbarassed	Embarrassed	Embarrassed		False	Localized, SentToLocalization
7988832580456858073	BrainLogic_LearningSpeedDebuffWhenStressed	Stressed	Stressed		False	Localized, SentToLocalization
3287635723070043559	BrainLogic_LearningSpeedDebuffWhenDisgusted	Disgusted	Disgusted		False	Localized, SentToLocalization
893045034905397101	BrainLogic_LearningSpeedDebuffWhenBored=1	Bored	Bored		False	Localized, SentToLocalization
6519619657434863596	BrainLogic_LearningSpeedDebuffWhenLowNeeds	Low need(s)	Low needs		False	Localized, SentToLocalization
4864528085723231332	BrainLogic_LearningSpeedDebuffWhenSadAndOverjoyed	Sad (Vibe: Overjoyed)	Sad (Trait: Overjoyed)		False	Localized, SentToLocalization
8784901763330659809	BrainLogic_LearningSpeedDebuffWhenGrumpyWithNoGrump	No grump (Trait: Grumpy)	No grump (Trait: Grumpy)		True	None
2726688943624239325	BrainLogic_GoodAtNothingLearningSpeedDebuffAura	Inside a “Good at Nothing” aura	Inside a “Good at Nothing” aura		False	ChangedOnProofreadingImport, Localized
761765136685539966	InteractionGroup_BrowseTVChannels	Browse TV channels...	Browse TV channels		False	Localized, SentToLocalization
4364953288798388143	InteractionGroup_GROUP_TV	Television	Television		False	Localized, SentToLocalization
1055701538466249545	Interaction_TurnON	Turn on	Turn on		False	Localized, SentToLocalization
3162222719823259558	Interaction_WatchTVRomance	Romance	Watch romance		False	Localized, SentToLocalization
7418601396430295766	Interaction_WatchTVSciFi	Sci-fi	Watch sci-fi		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5213626744482233917	Interaction_WatchTVSports	Sports	Watch sports		False	ChangedOnProofreadingImport, Localized, SentToLocalization
7032154077788624519	Interaction_WatchTVDocumentary	Documentary	Watch documentary		False	Localized, SentToLocalization
3340480280103202493	Interaction_TurnOFF	Turn off	Turn off		False	Localized, SentToLocalization
5613209404404167579	SuccessModifier_FromGoodAtRomance	Social Perk: Good at Romantic Relationships	Trait: Good at romance		False	Localized, SentToLocalization
8376601152966034513	Interaction_RepairElectronic	Repair	Repair		False	Localized, SentToLocalization
7289984931008101534	Interaction_Paint...	Paint...	Paint...		False	Localized, SentToLocalization
8751104563819385381	InteractionGroup_GROUP_Easel	Easel	Easel		False	Localized, SentToLocalization
9194901799144465503	Interaction_ExerciseDoCrunches	Do crunches	Do crunches		False	Localized, SentToLocalization
5375613306105774901	Interaction_ExerciseDoSquats	Do squats	Do squats		False	Localized, SentToLocalization
3434249946634706509	InteractionGroup_UsePhone	Use phone...	Use phone...		False	Localized, SentToLocalization
2489159626103887132	Interaction_CallPara	Call another Para	Call other Para		False	Localized, SentToLocalization
1756141525135495332	InteractionGroup_GROUP_Guitar	Guitar	Guitar		False	Localized, SentToLocalization
2694685370221183100	Interaction_PracticeGuitar	Practice guitar	Practice guitar		False	Localized, SentToLocalization
7374278401884077319	Interaction_PlaySongGuitar...	Play song...	Play song...		False	Localized, SentToLocalization
2659479417050138241	InteractionUsabilityRuleTooltip_GuitarSkillLevelGreaterThanThree	Your guitar skill level must be greater than 3 to do this.	Your guitar skill level must be greater than 3 to do this		False	Localized, SentToLocalization
4618751572815811693	Interaction_SitArmrest	Sit on the armrest	Sit on the armrest		False	Localized, SentToLocalization
5396404857916562868	Interaction_SitReverse	Sit in reverse	Sit in reverse		False	Localized, SentToLocalization
3734930713073011865	Interaction_HangoutSitting	Hang out	Hangout		False	Localized, SentToLocalization
8074607176367424678	InteractionUsabilityRuleTooltip_PowerOutage	There is currently a power outage preventing this item from working.	There is currently an outage preventing this item from working		False	Localized, SentToLocalization
3757622041447394247	InteractionUsabilityRuleTooltip_BrokenItem	This item is broken!	This item is broken!		False	Localized, SentToLocalization
8766997997497081156	InteractionUsabilityRuleTooltip_FireInLot	There's a fire in the lot!	There is a fire in the lot!		False	Localized, SentToLocalization
8154285059861048745	InteractionUsabilityRuleTooltip_ParaOnFire	Cannot do action while on fire.	Cannot do action while on fire		False	Localized, SentToLocalization
8548246052786840177	InteractionUsabilityRuleTooltip_OtherParaOnFire	Cannot interact with them, they're on fire!	Cannot interact with them, they are on fire!		False	Localized, SentToLocalization
7345810340902555145	InteractionGroup_GROUP_HiringPoster	Help Wanted sign	Hiring poster		False	Localized, SentToLocalization
6732586945861712227	Interaction_RepairItem	Repair	Repair		False	Localized, SentToLocalization
7085962775231913089	Interaction_RepairBathTub	Repair bathtub	Repair bathub		False	Localized, SentToLocalization
3473569192182808820	Interaction_RepairShower	Repair shower	Repair shower		False	Localized, SentToLocalization
7849301734501957512	Interaction_RepairToilet	Repair toilet	Repair toilet		False	Localized, SentToLocalization
7451866238778724656	Interaction_LearnAboutRepair	Learn about repair	Learn about repair		False	Localized, SentToLocalization
6552971194819232328	TogetherCard_TellInsideJoke	Tell an inside joke	Tell inside joke		False	Localized, SentToLocalization
1555749605580587512	BrainLogic_EnergeticRandomSkillLearningSpeed+3AfterOneHour	Learning streak bonus (Vibe: Energetic)	Boost to a random other skill (Trait: Energetic)		False	Localized, SentToLocalization
4113980438652510848	Want_FindAJobInHealthcareIndustry	Find a job in the healthcare field	Find a job in the healthcare industry		False	Localized, SentToLocalization
2153751191588843209	Want_CheerUpAnotherPara	Cheer up another Para	Cheer up another Para		False	ChangedOnProofreadingImport, Localized, SentToLocalization
4661334238241709012	Want_BeInGroupOf4ParasPerformingActionOfSkillFor2Hours	Be in a group of {0} Paras doing something related to the {4} skill for {1} hours	Be in a group of {0} Paras performing action of {4} skill for {1} hours		False	Localized, SentToLocalization
7048236397160773258	TogetherCard_MotivateTheGroupWithHappiness	Motivate the group with happy thoughts	Motivate the group with happiness		False	Localized, SentToLocalization
6288243647893003959	TogetherCard_AskEveryoneToShareSomethingPositive	Ask everyone to share something positive	Ask everyone to share something positive		False	Localized, SentToLocalization
4828409707259345396	TogetherCard_EnthusiasticallyInfuseWithOverflowingJoy	Enthusiastically infuse with overflowing joy	Enthusiastically infuse with overflowing joy		False	Localized, SentToLocalization
6408050305707270103	SuccessModifier_OverflowingJoy	You are full of overflowing joy	Overflowing joy		False	Localized, SentToLocalization
3171014037967201816	TogetherCard_ComplimentSadness	Compliment existential dread	Compliment existential dread		False	Localized, SentToLocalization
5054214333225171339	TogetherCard_ComplimentSadness_FLIRTY	Compliment existential dread (flirty)	Compliment existential dread (flirty)		False	Localized, SentToLocalization
7804659927075929712	TogetherCard_MockForBeingHappy	Mock for being happy	Mock for being happy		False	Localized, SentToLocalization
2983817820520922599	TogetherCard_ThoroughlyDepressEveryone	Depress everyone thoroughly	Depress everyone thoroughly		False	Localized, SentToLocalization
1606950246836407150	StatusEffect_ThoroughlyDepressed	Thoroughly Depressed	ThoroughlyDepressed		False	Localized, SentToLocalization
2308664007882997565	SuccessModifier_ThoroughlyDepressed	You are thoroughly depressed	Thoroughly depressed		False	Localized, SentToLocalization
4237413059292979642	Want_Spend3HoursWithYourChild	Spend {0} hours with your child	Spend {0} hours with your child		False	Localized, SentToLocalization
5818575982378651524	Want_EatMealWithFamilyMembers	Eat a meal with family members	Eat a meal with family members		False	Localized, SentToLocalization
4893519264958476253	Want_EatMealWithCharacter	Eat a meal with {6}	Eat a meal with {6}		False	Localized, SentToLocalization
3730293191880146786	Want_Spend3HoursWithCharacter	Spend {0} hours with {6}	Spend {0} hours with {6}		False	Localized, SentToLocalization
5397294623710137904	Want_FlirtSuccessfullyWithCharacter	Successfully flirt with {6}	Flirt successfully with {6}		False	Localized, SentToLocalization
8248948908304211255	Want_Spend6HoursWithCharacter	Spend {0} hours with {6}	Spend {0} hours with {6}		False	Localized, SentToLocalization
8465973100792690592	Want_HelpAnotherParaLevelASkill	Help another Para level up a skill	Help another Para level up a skill		False	Localized, SentToLocalization
5695003495902829598	TogetherCard_MockForBeingLowEnergy	Mock for being low energy	Mock for being low energy		False	Localized, SentToLocalization
3568461142501750746	TogetherCard_ShareEnergyToTheWorld	Share energy with the world	Share energy to the world		False	Localized, SentToLocalization
2528382458063036089	TogetherCard_IntroductionJester	Introduce yourself in a funny manner	Funny introduction		False	Localized, SentToLocalization
3429404046971800199	TogetherCard_IntroductionHilarious	Introduce yourself in a hilarious manner	Hilarious introduction		False	Localized, SentToLocalization
324806171928629937	TogetherCard_ComplimentOutfit_FUNNY	Compliment outfit (funny)	Compliment outfit (in a funny way)		False	Localized, SentToLocalization
901632088444842638	TogetherCard_ComplimentHairstyle_FUNNY	Compliment hairstyle (funny)	Compliment hairstyle (in a funny way)		False	Localized, SentToLocalization
6805527833033519356	TogetherCard_ComplimentMood_FUNNY	Compliment mood (funny)	Compliment mood (in a funny way)		False	Localized, SentToLocalization
8147598680204756551	TogetherCard_ComplimentMuscles_FUNNY	Compliment muscles (funny)	Compliment muscles (in a funny way)		False	Localized, SentToLocalization
2942298280019204234	TogetherCard_TellIncredibleJoke	Tell an incredible joke	Tell incredible joke		False	Localized, SentToLocalization
6926323360779070091	TogetherCard_MockForNoGoodReason	Mock for no good reason	Mock for no good reason		False	Localized, SentToLocalization
1628597976824191162	TogetherCard_FlirtAsAJoke	Flirt “as a joke”	Flirt "as a joke"		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1319866632061588102	SuccessModifier_TargetAmusedJester	Someone in the group is amused (Vibe: Jester)	Someone in the group is amused (Trait: Jester)		False	Localized, SentToLocalization
8168777047898417375	TogetherCard_JokeAboutDating	Joke about dating (risky)	Joke about dating (risky)		False	Localized, SentToLocalization
6642373434822080002	TogetherCard_TellTheGreatestJokeOfAllTime	Tell the greatest joke of all time	Tell the greatest joke of all time		False	Localized, SentToLocalization
4578368876578935034	Want_EatFoodMadeByCharacter	Eat food made by {6}	Made food made by {6}		False	Localized, SentToLocalization
5487352638929092023	Want_ProgramWithCharacterFor1Hour	Program with {6} for 1 hour	Program with {6} for 1 hour		False	Localized, SentToLocalization
6264741813419054327	Want_EatFoodParaCanCook	Eat food: {0}	Eat {0}		False	Localized, SentToLocalization
1928671526121100715	Want_WorkoutWithCharacterFor1Hour	Work out with {6} for 1 hour	Workout with {6} for 1 hour		False	Localized, SentToLocalization
5527222394605526934	Want_PaintWithCharacterFor1Hour	Paint with {6} for 1 hour	Paint with {6} for 1 hour		False	Localized, SentToLocalization
6784497731098389068	Want_CookWithCharacterFor1Hour	Cook with {6} for 1 hour	Cook with {6} for 1 hour		False	Localized, SentToLocalization
4078986175600392751	Want_GetNegativeMainEmotionFromPositive	Get a negative main emotion	Get a negative main emotion		False	Localized, SentToLocalization
8436352349594183103	BrainLogic_WantOffer_FlirtyLover	Because of your lover	Because of your lover		False	Localized, SentToLocalization
6593674908479709264	InteractionGroup_GROUP_Canvas	Canvas	Canvas		False	Localized, SentToLocalization
1529047938262989364	Interaction_FinishPainting	Finish painting	Finish painting		False	Localized, SentToLocalization
1940666931445042251	Interaction_ScrapPainting	Scrap painting	Scrap painting		False	Localized, SentToLocalization
6909975059121323390	InteractionUsabilityRuleTooltip_CannotScrapPaintingWorkedOn	Cannot scrap a painting being worked on.	Cannot scrap a painting being worked on		False	Localized, SentToLocalization
665981210638477858	TogetherCard_TellExtremelyDarkJoke	Tell an extremely morbid joke	Tell extremely morbid joke		False	ChangedOnProofreadingImport, Localized, SentToLocalization
4666852920733824869	TogetherCard_ShareImportantMusicCareerTip	Share important music career tips	Share important music career tips		False	Localized, SentToLocalization
